dataset,foundational_model,adapter,n_features,n_components,context_length,forecasting_horizon,num_layers,hidden_dim,learning_rate,batch_size,coeff_reconstruction,running_time,seed,mse,mae,test_mse,test_mae
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,64,1.0,354.5089762210846,1333,0.9296578603903982,0.7444390178852962,6.0933987260790134,1.7225100281481813
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.0001,32,1.0,413.13752365112305,1333,1.1497610534662308,0.8521409055639777,6.781021792305632,1.8528611989166885
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,64,0.1,55.64057683944702,1333,0.7841147197530757,0.6825509056899737,6.022379172379905,1.7104037211787166
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,1.0,28.410515546798706,1333,1.4028716454252157,0.9202688441777872,8.252819375022835,2.0909746676419068
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,0.1,46.69493842124939,1333,1.318054346660227,0.8923730386545726,7.074234078425134,1.9244006840755652
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,32,0.01,40.94442963600159,1333,0.7267968760691433,0.6482834103444324,4.784240842037989,1.4436677658146169
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,10.0,128.7619342803955,1333,1.177348368845489,0.8408023804471284,8.626437765287271,2.154910056960157
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.01,64,10.0,74.2069480419159,1333,0.7559167314177015,0.675344988267082,5.752855667588387,1.6519446796834119
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,64,1.0,97.92153978347778,1333,0.7674781056479965,0.6899233749167033,5.383882961542978,1.6334345063277085
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,0.1,105.00383138656616,1333,0.705432972661902,0.6557482029551621,4.735404642028119,1.5007958960363517
Illness_pred=24,AutonLab/MOMENT-1-small,linearAE,7,3,512,24,0,0,0.001,32,0.01,190.03243255615234,1333,0.7335979081205218,0.665092118581025,5.557076821768646,1.6112537257220154
